symbol,shortName,longName,currency,circulatingSupply,maxSupply
BTC,Grayscale Bitcoin Mini Trust (B,Grayscale Bitcoin Mini Trust ETF,USD,,
ETH,Grayscale Ethereum Mini Trust (,Grayscale Ethereum Mini Trust ETF,USD,,
USDT,Tether,Tether,,,
BNB,BNB,BNB,,,
XRP,XRP,XRP,,,
SOL,Emeren Group Ltd,Emeren Group Ltd,USD,,
USDC,USDATA CORP,USDATA Corp.,USD,,
STETH,Lido Staked Ether,Lido Staked Ether,,,
DOGE,Dogecoin,Dogecoin,,,
TRX,TRX Gold Corporation,TRX Gold Corporation,USD,,
ADA,Cardano,Cardano,,,
WSTETH,Wrapped stETH,Wrapped stETH,,,
WBTC,Wrapped Bitcoin,Wrapped Bitcoin,,,
WBETH,Wrapped Beacon ETH,Wrapped Beacon ETH,,,
FIGR_HELOC,Figure Heloc,Figure Heloc,,,
HYPE,Hyperliquid,Hyperliquid,,,
LINK,"Interlink Electronics, Inc.","Interlink Electronics, Inc.",USD,,
BCH,Banco De Chile,Banco de Chile,USD,,
WEETH,Wrapped eETH,Wrapped eETH,,,
XLM,Stellar,Stellar,,,
USDE,Ethena USDe,Ethena USDe,,,
USDS,USDS,USDS,,,
BSC-USD,BowsCoin USD,BowsCoin USD,USD,,
SUI,"Sun Communities, Inc.","Sun Communities, Inc.",USD,,
LEO,"Dreyfus Strategic Municipals, I","BNY Mellon Strategic Municipals, Inc.",USD,,
HBAR,Hedera,Hedera,,,
WETH,Wetouch Technology Inc.,Wetouch Technology Inc.,USD,,
AVAX,Avalanche,Avalanche,,,
CBBTC,Coinbase Wrapped BTC,Coinbase Wrapped BTC,,,
LTC,"LTC Properties, Inc.","LTC Properties, Inc.",USD,,
USDT0,USDT0,USDT0,,,
WBT,WhiteBIT Coin,WhiteBIT Coin,,,
XMR,Monero,Monero,,,
ZEC,Zcash,Zcash,,,
SHIB,Shiba Inu,Shiba Inu,,,
TON,Toncoin,Toncoin,,,
CRO,Cronos,Cronos,,,
SUSDE,Ethena Staked USDe,Ethena Staked USDe,,,
MNT,Mantle,Mantle,,,
DAI,Dai,Dai,,,
DOT,Polkadot,Polkadot,,,
M,Macy's Inc,"Macy's, Inc.",USD,,
TAO,Bittensor,Bittensor,,,
WLFI,World Liberty Financial,World Liberty Financial,,,
UNI,Uniswap,Uniswap,,,
SUSDS,sUSDS,sUSDS,,,
AAVE,Aave,Aave,,,
OKB,OKB,OKB,,,
BGB,Blackstone / GSO Strategic Cred,Blackstone Strategic Credit 2027 Term Fund,USD,,
ENA,Ethena,Ethena,,,
USD1,USD1,USD1,,,
PEPE,Pepe,Pepe,,,
BUIDL,BlackRock USD Institutional Digital Liquidity Fund,BlackRock USD Institutional Digital Liquidity Fund,,,
NEAR,iShares Short Duration Bond Act,iShares Short Duration Bond Active ETF,USD,,
PYUSD,PayPal USD,PayPal USD,,,
JITOSOL,Jito Staked SOL,Jito Staked SOL,,,
SOL,Emeren Group Ltd,Emeren Group Ltd,USD,,
ETC,Ethereum Classic,Ethereum Classic,,,
APT,"Alpha Pro Tech, Ltd.","Alpha Pro Tech, Ltd.",USD,,
WETH,Wetouch Technology Inc.,Wetouch Technology Inc.,USD,,
ONDO,Ondo,Ondo,,,
JLP,Jupiter Perpetuals Liquidity Provider Token,Jupiter Perpetuals Liquidity Provider Token,,,
PI,"Impinj, Inc.","Impinj, Inc.",USD,,
USDF,Falcon USD,Falcon USD,,,
XAUT,Tether Gold,Tether Gold,,,
ASTER,Aster,Aster,,,
POL,POL (ex-MATIC),POL (ex-MATIC),,,
WLD,Worldcoin,Worldcoin,,,
USDTB,USDtb,USDtb,,,
RETH,Rocket Pool ETH,Rocket Pool ETH,,,
PUMP,ProPetro Holding Corp.,ProPetro Holding Corp.,USD,,
HTX,HTX DAO,HTX DAO,,,
KCS,KuCoin,KuCoin,,,
KHYPE,Kinetiq Staked HYPE,Kinetiq Staked HYPE,,,
ARB,AltShares Merger Arbitrage ETF,AltShares Merger Arbitrage ETF,USD,,
BNSOL,Binance Staked SOL,Binance Staked SOL,,,
TRUMP,Official Trump,Official Trump,,,
ICP,Internet Computer,Internet Computer,,,
GT,The Goodyear Tire & Rubber Comp,The Goodyear Tire & Rubber Company,USD,,
ALGO,Algorand,Algorand,,,
HASH,Provenance Blockchain,Provenance Blockchain,,,
KAS,Kaspa,Kaspa,,,
IP,International Paper Company,International Paper Company,USD,,
RSETH,Kelp DAO Restaked ETH,Kelp DAO Restaked ETH,,,
OSETH,StakeWise Staked ETH,StakeWise Staked ETH,,,
ATOM,Atomera Incorporated,Atomera Incorporated,USD,,
VET,Vermilion Energy Inc.,Vermilion Energy Inc.,USD,,
WBNB,Wrapped BNB,Wrapped BNB,,,
SYRUPUSDT,syrupUSDT,syrupUSDT,,,
LSETH,Liquid Staked ETH,Liquid Staked ETH,,,
SKY,"Champion Homes, Inc.","Champion Homes, Inc.",USD,,
SYRUPUSDC,Syrup USDC,Syrup USDC,,,
LBTC,Lombard Staked BTC,Lombard Staked BTC,,,
JUP,Jupiter,Jupiter,,,
PAXG,PAX Gold,PAX Gold,,,
BFUSD,BFUSD,BFUSD,,,
FLR,Fluor Corporation,Fluor Corporation,USD,,
PENGU,Pudgy Penguins,Pudgy Penguins,,,
EZETH,Renzo Restaked ETH,Renzo Restaked ETH,,,
RENDER,Render,Render,,,
